id,outlet,url,published_at,title,lead,rubric,language,country
2dbcc83596a6,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186311-peskov-nazval,2026-03-29 09:33:31,Песков назвал атаку США на Иран губительной для всего мира,,Политика / Международные новости,ru,RU
56a7a2f2cb46,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186312-galibaf-ssha-govoryat,2026-03-29 09:35:42,"Галибаф: США говорят о переговорах, но тайно планируют наземное наступление",,Политика / Международные отношения,ru,RU
2a57dddf6207,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186313-vs-rf-vzyali-pod,2026-03-29 09:41:45,ВС РФ взяли под контроль поселок Ковшаровка в Харьковской области,,Политика / Армия и спецслужбы,ru,RU
0285a55e237f,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186314-tehran-times-oae,2026-03-29 10:00:45,Tehran Times: ОАЭ аннулировали ВНЖ для всех граждан Ирана,,Политика / Международные новости,ru,RU
6f4c84779cc9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186315-ksir-zayavil,2026-03-29 10:07:34,КСИР заявил об уничтожении самолета-разведчика E-3 ВС США в Саудовской Аравии,,Политика / Международные новости,ru,RU
d4f6ba8d19e9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186317-kndr-provela,2026-03-29 10:36:55,"КНДР провела испытание двигателя ракеты, способной достичь США",,Политика / Международные новости,ru,RU
85a7c44a4506,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186318-ushakov-rf-ispolzuet,2026-03-29 10:50:02,"Ушаков: РФ использует принцип «доверяй, но проверяй» с зарубежными партнерами",,Политика / Международные отношения,ru,RU
f53700e72a44,vedomosti,https://www.vedomosti.ru/society/news/2026/03/29/1186319-kazahstane-umer-veteran,2026-03-29 11:16:53,"В Казахстане умер ветеран, конвоировавший Паулюса после Сталинградской битвы",,Общество,ru,RU
135e14bf3996,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186320-ushakov-rasskazal,2026-03-29 11:18:16,Ушаков рассказал об «интересных» предложениях по Украине,,Политика / Международные отношения,ru,RU
4d4b757756e7,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186322-vooruzhennie-sili-rossii,2026-03-29 11:31:10,Вооруженные силы России нанесли удар по складу ракетного вооружения «Фламинго»,,Политика / Армия и спецслужбы,ru,RU
a5656e912972,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186321-pri-udare-izrailya,2026-03-29 11:37:28,При ударе Израиля пострадал офис катарского канала Al Araby в Иране,,Политика / Международные новости,ru,RU
93a4485b4b53,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186324-dmitriev-evropu,2026-03-29 11:46:38,Дмитриев: Европу ждут энергетические локдауны,,Политика / Власть,ru,RU
d5db931144ac,vedomosti,https://www.vedomosti.ru/technology/news/2026/03/29/1186327-moshenniki-vnedryayut,2026-03-29 11:59:31,Мошенники внедряют вирусы под видом приложений для оплаты ЖКХ,,Технологии / Интернет и digital,ru,RU
6838e442ac0b,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186328-putin-na-sleduyuschei-nedele,2026-03-29 12:01:09,Путин на следующей неделе продолжит международные контакты,,Политика / Власть,ru,RU
979c1b5098b3,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186329-mihalkov-naschet-efremova,2026-03-29 12:24:09,Михалков: Путин сомневался насчет возвращения Ефремова на сцену,,Политика / Власть,ru,RU
021e86e6b216,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186331-v-yuar-ubili-gruzdya,2026-03-29 12:37:04,В ЮАР похитили и убили эксперта по связям Африки и РФ Стивена Груздя,,Политика / Международные отношения,ru,RU
992beeb8956e,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186332-padenii-ukrainskih-bespilotnikov,2026-03-29 12:46:05,Премьер Финляндии сообщил о падении в стране украинских беспилотников,,Политика / Международные новости,ru,RU
bd6588ea11ca,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186333-iran-atakoval-bazu-ssha,2026-03-29 12:51:45,Иран атаковал беспилотниками военную базу США в Иордании,,Политика / Международные новости,ru,RU
de2e04a3a8d1,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186336-posla-izrailya-vizvali,2026-03-29 13:11:08,Посла Израиля вызвали в МИД Италии из-за закрытия входа в храм Гроба Господня,,Политика / Международные новости,ru,RU
71ef78b017ce,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186335-dopustili-perezahoronenie-banderi,2026-03-29 13:20:21,На Украине допустили перезахоронение Степана Бандеры,,Политика / Международные новости,ru,RU
02607797c72b,vedomosti,https://www.vedomosti.ru/business/news/2026/03/29/1186338-vosstanovlenie-spg-zavoda,2026-03-29 13:33:39,Восстановление СПГ-завода Chevron в Австралии займет несколько недель,,Бизнес / ТЭК,ru,RU
a6dbd0a38b8b,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186339-v-pakistane-peregovori,2026-03-29 13:58:57,В Пакистане начались четырехсторонние переговоры по деэскалации войны в Иране,,Политика / Международные новости,ru,RU
09d337be86c4,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186341-voina-v-irane,2026-03-29 14:07:42,Bloomberg: война в Иране подорвала доверие к лидерам США,,Политика / Международные новости,ru,RU
32de9e6685ae,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186340-govoruhin-mog-stat,2026-03-29 14:23:15,Путин: Говорухин мог стать хорошим президентом России,,Политика / Власть,ru,RU
635e702e6ed9,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186344-pashinyan-potasovki,2026-03-29 14:33:25,Пашинян стал участником потасовки в армянском храме,,Политика / Международные новости,ru,RU
1bc41778e995,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186345-iran-atakoval-hranilischa,2026-03-29 14:36:02,Иран атаковал хранилища химических веществ возле Беэр-Шевы в Израиле,,Политика / Международные новости,ru,RU
